frame_index,timestamp_ms
616,10894.1
617,10907.7
618,10928.5
619,10940.8
620,10959.5
621,10976.7
622,10990.8
623,11009
624,11024.4
625,11046.9
626,11058.1
627,11075
628,11094.6
629,11107.6
630,11125.2
631,11142
632,11161.8
633,11173.9
634,11192.9
635,11208.1
636,11224.1
637,11244.4
638,11257.9
639,11275.7
640,11290.5
641,11308
642,11326.4
643,11340.4
644,11358.3
645,11376.1
646,11390.8
647,11408.3
648,11425.7
649,11443
650,11463.1
651,11473.5
652,11491.8
653,11508.6
654,11524
655,11542.1
656,11557.5
657,11575.3
658,11590.6
659,11609.3
660,11624.9
661,11644.2
662,11660.3
663,11673.8
664,11692.7
665,11709.1
666,11723.8
667,11742.4
668,11758.9
669,11773.3
670,11791.9
671,11806.6
672,11824.6
673,11843
674,11856.8
675,11875
676,11891.8
677,11910.1
678,11925.5
679,11942.6
680,11959.8
681,11976.6
682,11990.3
683,12008.9
684,12024.2
685,12045.8
686,12059.7
687,12073.5
688,12092.2
689,12106
690,12124.7
691,12143.9
692,12156.4
693,12173.5
694,12192.9
695,12206.2
696,12228.8
697,12241.9
698,12264.4
699,12273.7
700,12290.4
701,12307.6
702,12322.9
703,12339.9
704,12358.3
705,12373
706,12391.3
707,12408.4
708,12421.8
709,12440.5
710,12463.8
711,12474.6
712,12492.8
713,12510.2
714,12530.4
715,12539.6
716,12557.2
717,12573.3
718,12590.6
719,12606.3
720,12623.8
721,12642
722,12656.4
723,12674.6
724,12690.3
725,12706.2
726,12723.1
727,12741.3
728,12755.7
729,12773.6
730,12792.2
731,12805.7
732,12823.7
733,12842.6
734,12858.5
735,12873.8
736,12890.5
737,12907.1
738,12925
739,12944.1
740,12959.8
741,12974.4
742,12990.2
743,13007.5
744,13022
745,13040.9
746,13058.3
747,13073.5
748,13088.7
749,13106.2
750,13122.2
751,13139.7
752,13155.5
753,13173.7
754,13190.9
755,13205.8
756,13225.9
757,13243.8
758,13257.1
759,13275.7
760,13289.2
761,13306.6
762,13321.8
763,13340.3
764,13355.1
765,13372.5
766,13389.9
767,13405.2
768,13422.2
769,13439.9
770,13456.6
771,13474
772,13490
773,13505.9
774,13525.2
775,13539.4
776,13556.8
777,13574.6
778,13588.8
779,13606.6
780,13624.3
781,13642.7
782,13675.5
783,13687.8
784,13722.1
785,13752.3
786,13767.7
787,13779.4
788,13790.9
789,13817.5
790,13827.4
791,13843.6
792,13855.7
793,13874.4
794,13887.9
795,13905.8
796,13922.8
797,13939.6
798,13954.9
799,13971.6
800,13988.5
801,14008.8
802,14021.5
803,14038.5
804,14056.5
805,14071.3
806,14089.9
807,14104.3
808,14122.2
809,14139.8
810,14156.5
811,14174
812,14188.1
813,14206
814,14222.3
815,14239.9
816,14255.1
817,14274.4
818,14287.7
819,14306.8
820,14322.3
821,14339.8
822,14354.1
823,14373
824,14388.6
825,14406.2
826,14420.9
827,14439
828,14457.2
829,14472.5
830,14489.1
831,14504.1
832,14521.3
833,14538.4
834,14555
835,14571.7
836,14588.3
837,14605.5
838,14622.7
839,14637.2
840,14658.1
841,14671.7
842,14686.8
843,14704.5
844,14720.8
845,14738.5
846,14754.3
847,14772.2
848,14788.2
849,14803.7
850,14822
851,14837.5
852,14857.2
853,14871.9
854,14887.2
855,14905.5
856,14922.7
857,14937.3
858,14956.1
859,14970.8
860,14989.8
861,15003.6
862,15023.8
863,15038.1
864,15055.3
865,15073.6
866,15087.4
867,15105
868,15120.2
869,15137.8
870,15155.3
871,15169.7
872,15186.6
873,15204.6
874,15221.4
875,15237.2
876,15255.1
877,15272.5
878,15286.4
879,15303.1
880,15321.6
881,15338.4
882,15354.6
883,15377.5
884,15388
885,15404.7
886,15421.6
887,15437.9
888,15455.4
889,15471.4
890,15488.2
891,15503.8
892,15521.3
893,15536.2
894,15557.3
895,15570.3
896,15589
897,15602.7
898,15620
899,15638.3
900,15655.2
901,15669.6
902,15687.6
903,15704.5
904,15721.3
905,15736.8
906,15754
907,15770.8
908,15788.3
909,15803.8
910,15822.6
911,15836.7
912,15854.3
913,15871.5
914,15885.7
915,15903.4
916,15921.2
917,15936
918,15953.9
919,15970.6
920,15988.9
921,16002.9
922,16022.4
923,16036.1
924,16057.3
925,16077.7
926,16090.6
927,16107
928,16123.7
929,16138.9
930,16155.1
931,16170.2
932,16188.1
933,16205.1
934,16221
935,16238.4
936,16257.4
937,16271.9
938,16290.6
939,16303.3
940,16322.5
941,16336.6
942,16351.8
943,16369.8
944,16385.6
945,16402.8
946,16419.8
947,16435.7
948,16455.1
949,16469.2
950,16490.6
951,16502.1
952,16520.7
953,16536.8
954,16554.9
955,16568.7
956,16586.2
957,16603.6
958,16619
959,16636.5
960,16656.4
961,16680.2
962,16692.3
963,16704.7
964,16721.2
965,16741.2
966,16755
967,16774
968,16785.2
969,16804.7
970,16819.5
971,16836.9
972,16856.3
973,16880.8
974,16892.3
975,16906.3
976,16920.3
977,16939.5
978,16954.1
979,16968.7
980,16987.3
981,17001.8
982,17019.8
983,17034.3
984,17052.9
985,17070.9
986,17086
987,17103.3
988,17121.6
989,17141.4
990,17155
991,17173.3
992,17186.8
993,17202.5
994,17220.1
995,17235.2
996,17256.5
997,17275.4
998,17285.3
999,17301.1
1000,17318.3
1001,17334.8
1002,17351.5
1003,17369.3
1004,17384.9
1005,17402.7
1006,17417.2
1007,17435.5
1008,17452.9
1009,17469.9
1010,17484.9
1011,17502.1
1012,17518.9
1013,17535.6
1014,17552.1
1015,17567.6
1016,17585.2
1017,17603.1
1018,17617.7
1019,17636.4
1020,17652.8
1021,17668.4
1022,17686.9
1023,17701
1024,17718.5
1025,17734.9
1026,17752.4
1027,17767.1
1028,17786.5
1029,17800.7
1030,17818.7
1031,17835.6
1032,17852.9
1033,17871.3
1034,17887.2
1035,17901.7
1036,17917.9
1037,17934.9
1038,17950.5
1039,17968.4
1040,17985
1041,18002.5
1042,18017.2
1043,18034.8
1044,18054.2
1045,18070.2
1046,18088
1047,18105
1048,18120.2
1049,18134.4
1050,18151.9
1051,18171.6
1052,18188.7
1053,18203.6
1054,18218.3
1055,18234.2
1056,18253.9
1057,18269
1058,18288.3
1059,18302.5
1060,18317.2
1061,18334.9
1062,18353.6
1063,18367.5
1064,18386.3
1065,18400.8
1066,18419
1067,18434.1
1068,18453.1
1069,18471
1070,18485.2
1071,18501.3
1072,18518.5
1073,18538.1
1074,18550.9
1075,18567.5
1076,18584.1
1077,18601
1078,18616.9
1079,18634.8
1080,18654.4
1081,18672.4
1082,18687.3
1083,18703.2
1084,18720.3
1085,18735.4
1086,18752
1087,18766.7
1088,18785.8
1089,18800.8
1090,18817.7
1091,18834.6
1092,18853
1093,18874.1
1094,18885.2
1095,18898.8
1096,18917.6
1097,18934
1098,18950.1
1099,18968.2
1100,18984.4
1101,19001
1102,19017.3
1103,19035.7
1104,19051.9
1105,19071.9
1106,19084.4
1107,19098.9
